fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.jfree.chart.plot.compass.ArrowNeedle,true,false,false,,,,,,false,false,8,22,15,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.CompassPlot,true,false,true,,,,,,false,false,74,101,83,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.LineNeedle,true,false,false,,,,,,false,false,6,7,13,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.LongNeedle,true,false,false,,,,,,false,false,7,20,13,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.MeterNeedle,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.plot.compass.MiddlePinNeedle,true,false,false,,,,,,false,false,8,16,14,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.PinNeedle,true,false,false,,,,,,false,false,7,15,14,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.PlumNeedle,true,false,false,,,,,,false,false,6,11,15,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.PointerNeedle,true,false,false,,,,,,false,false,5,13,12,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.ShipNeedle,true,false,false,,,,,,false,false,7,6,14,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.WindNeedle,true,false,false,,,,,,false,false,7,7,10,DEPENDENCY_TYPES>5
org.jfree.chart.plot.compass.used,true,false,false,,,,,,false,false,0,0,18,DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.ArcDialFrame,true,false,true,,,,,,false,false,30,52,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.DialBackground,true,false,false,,,,,,false,false,11,15,33,DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.DialCap,true,false,true,,,,,,false,false,16,20,36,DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.DialPlot,true,false,true,,,,,,false,false,76,71,46,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.DialTextAnnotation,true,false,false,,,,,,false,false,21,30,39,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.DialValueIndicator,true,false,true,,,,,,false,false,45,66,57,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.StandardDialFrame,true,false,false,,,,,,false,false,17,26,36,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.StandardDialRange,true,false,false,,,,,,false,false,32,35,37,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.plot.dial.StandardDialScale,true,false,true,,,,,,false,false,76,75,48,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
